"","RegionID","postal_code","City","State","Metro","CountyName","SizeRank","time","rentprice","month","year","YearMonth","imp"
"19464.2010-11",65943,"19464","Pottstown","PA","Philadelphia","Montgomery",790,2010-11-01,1268,11,"2010",Nov 2010,0
"33578.2010-11",399576,"33578","Riverview","FL","Tampa","Hillsborough",791,2010-11-01,1200,11,"2010",Nov 2010,0
"48228.2010-11",79083,"48228","Detroit","MI","Detroit","Wayne",792,2010-11-01,818,11,"2010",Nov 2010,0
"85205.2010-11",94800,"85205","Mesa","AZ","Phoenix","Maricopa",793,2010-11-01,1088,11,"2010",Nov 2010,0
"80123.2010-11",93252,"80123","Denver","CO","Denver","Denver",794,2010-11-01,1389,11,"2010",Nov 2010,0
"49009.2010-11",79502,"49009","Oshtemo","MI","Kalamazoo","Kalamazoo",795,2010-11-01,NA,11,"2010",Nov 2010,0
"90024.2010-11",96005,"90024","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",796,2010-11-01,3295,11,"2010",Nov 2010,0
"78250.2010-11",92346,"78250","San Antonio","TX","San Antonio","Bexar",797,2010-11-01,1055,11,"2010",Nov 2010,0
"75061.2010-11",90661,"75061","Irving","TX","Dallas-Fort Worth","Dallas",798,2010-11-01,1096,11,"2010",Nov 2010,0
"75025.2010-11",90630,"75025","Plano","TX","Dallas-Fort Worth","Collin",799,2010-11-01,1865,11,"2010",Nov 2010,0
"75703.2010-11",91046,"75703","Tyler","TX","Tyler","Smith",800,2010-11-01,1401,11,"2010",Nov 2010,0
"78258.2010-11",92354,"78258","San Antonio","TX","San Antonio","Bexar",801,2010-11-01,2015,11,"2010",Nov 2010,0
"98125.2010-11",99583,"98125","Seattle","WA","Seattle","King",802,2010-11-01,1573,11,"2010",Nov 2010,0
"48044.2010-11",78926,"48044","Macomb","MI","Detroit","Macomb",803,2010-11-01,1550,11,"2010",Nov 2010,0
"80504.2010-11",93435,"80504","Longmont","CO","Boulder","Boulder",804,2010-11-01,1404,11,"2010",Nov 2010,0
"33614.2010-11",72717,"33614","Egypt Lake-Leto","FL","Tampa","Hillsborough",805,2010-11-01,994,11,"2010",Nov 2010,0
"97301.2010-11",99178,"97301","Salem","OR","Salem","Marion",806,2010-11-01,851,11,"2010",Nov 2010,0
"19149.2010-11",65816,"19149","Philadelphia","PA","Philadelphia","Philadelphia",807,2010-11-01,1171,11,"2010",Nov 2010,0
"33176.2010-11",72478,"33176","Kendall","FL","Miami-Fort Lauderdale","Miami-Dade",808,2010-11-01,1611,11,"2010",Nov 2010,0
"20744.2010-11",66597,"20744","Fort Washington","MD","Washington","Prince Georges",809,2010-11-01,1816,11,"2010",Nov 2010,0
"43235.2010-11",76601,"43235","Columbus","OH","Columbus","Franklin",810,2010-11-01,1351,11,"2010",Nov 2010,0
"89122.2010-11",95818,"89122","Las Vegas","NV","Las Vegas","Clark",811,2010-11-01,1038,11,"2010",Nov 2010,0
"93312.2010-11",97227,"93312","Bakersfield","CA","Bakersfield","Kern",812,2010-11-01,1555,11,"2010",Nov 2010,0
"92618.2010-11",96952,"92618","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange",813,2010-11-01,2455,11,"2010",Nov 2010,0
"87112.2010-11",95307,"87112","Albuquerque","NM","Albuquerque","Bernalillo",814,2010-11-01,NA,11,"2010",Nov 2010,0
"78216.2010-11",92312,"78216","San Antonio","TX","San Antonio","Bexar",815,2010-11-01,1198,11,"2010",Nov 2010,0
"20774.2010-11",66622,"20774","Kettering","MD","Washington","Prince Georges",816,2010-11-01,1831,11,"2010",Nov 2010,0
"98661.2010-11",99947,"98661","Vancouver","WA","Portland","Clark",817,2010-11-01,912,11,"2010",Nov 2010,0
"23188.2010-11",67590,"23188","Williamsburg","VA","Virginia Beach","James City",818,2010-11-01,1773,11,"2010",Nov 2010,0
"73072.2010-11",89903,"73072","Norman","OK","Oklahoma City","Cleveland",819,2010-11-01,1165,11,"2010",Nov 2010,0
"96789.2010-11",98923,"96789","Mililani","HI","Urban Honolulu","Honolulu",820,2010-11-01,2152,11,"2010",Nov 2010,0
"80012.2010-11",93202,"80012","Aurora","CO","Denver","Arapahoe",821,2010-11-01,1077,11,"2010",Nov 2010,0
"70816.2010-11",88825,"70816","Baton Rouge","LA","Baton Rouge","East Baton Rouge",822,2010-11-01,NA,11,"2010",Nov 2010,0
"75231.2010-11",90783,"75231","Dallas","TX","Dallas-Fort Worth","Dallas",823,2010-11-01,891,11,"2010",Nov 2010,0
"19147.2010-11",65814,"19147","Philadelphia","PA","Philadelphia","Philadelphia",824,2010-11-01,1664,11,"2010",Nov 2010,0
"78681.2010-11",92610,"78681","Round Rock","TX","Austin","Williamson",825,2010-11-01,1435,11,"2010",Nov 2010,0
"15642.2010-11",64213,"15642","North Huntingdon","PA","Pittsburgh","Westmoreland",826,2010-11-01,1022,11,"2010",Nov 2010,0
"70001.2010-11",88414,"70001","Metairie","LA","New Orleans","Jefferson",827,2010-11-01,NA,11,"2010",Nov 2010,0
"91786.2010-11",96520,"91786","Upland","CA","Riverside","San Bernardino",828,2010-11-01,1798,11,"2010",Nov 2010,0
"29720.2010-11",70688,"29720","Lancaster","SC","Charlotte","Lancaster",829,2010-11-01,893,11,"2010",Nov 2010,0
"80918.2010-11",93596,"80918","Colorado Springs","CO","Colorado Springs","El Paso",830,2010-11-01,1192,11,"2010",Nov 2010,0
"78640.2010-11",92575,"78640","Kyle","TX","Austin","Hays",831,2010-11-01,1152,11,"2010",Nov 2010,0
"60643.2010-11",84642,"60643","Chicago","IL","Chicago","Cook",832,2010-11-01,1356,11,"2010",Nov 2010,0
"78504.2010-11",92477,"78504","McAllen","TX","McAllen","Hidalgo",833,2010-11-01,1191,11,"2010",Nov 2010,0
"47374.2010-11",78568,"47374","Richmond","IN","Richmond","Wayne",834,2010-11-01,799,11,"2010",Nov 2010,0
"97501.2010-11",99338,"97501","Medford","OR","Medford","Jackson",835,2010-11-01,883,11,"2010",Nov 2010,0
"58104.2010-11",83520,"58104","Fargo","ND","Fargo","Cass",836,2010-11-01,NA,11,"2010",Nov 2010,0
"92234.2010-11",96743,"92234","Cathedral City","CA","Riverside","Riverside",837,2010-11-01,1619,11,"2010",Nov 2010,0
"46360.2010-11",78110,"46360","Michigan City","IN","Michigan City","La Porte",838,2010-11-01,1105,11,"2010",Nov 2010,0
"72701.2010-11",89707,"72701","Fayetteville","AR","Fayetteville","Washington",839,2010-11-01,1102,11,"2010",Nov 2010,0
"57106.2010-11",83139,"57106","Sioux Falls","SD","Sioux Falls","Minnehaha",840,2010-11-01,NA,11,"2010",Nov 2010,0
"34221.2010-11",73043,"34221","Palmetto","FL","North Port-Sarasota-Bradenton","Manatee",841,2010-11-01,1240,11,"2010",Nov 2010,0
"32935.2010-11",72312,"32935","Melbourne","FL","Melbourne","Brevard",842,2010-11-01,852,11,"2010",Nov 2010,0
"33020.2010-11",72358,"33020","Hollywood","FL","Miami-Fort Lauderdale","Broward",843,2010-11-01,1242,11,"2010",Nov 2010,0
"29607.2010-11",70592,"29607","Greenville","SC","Greenville","Greenville",844,2010-11-01,1087,11,"2010",Nov 2010,0
"90028.2010-11",96009,"90028","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",845,2010-11-01,2174,11,"2010",Nov 2010,0
"29414.2010-11",70457,"29414","Charleston","SC","Charleston","Charleston",846,2010-11-01,1209,11,"2010",Nov 2010,0
"12065.2010-11",62370,"12065","Clifton Park","NY","Albany","Saratoga",847,2010-11-01,1745,11,"2010",Nov 2010,0
"85326.2010-11",94903,"85326","Buckeye","AZ","Phoenix","Maricopa",848,2010-11-01,995,11,"2010",Nov 2010,0
"63031.2010-11",85874,"63031","Florissant","MO","St. Louis","Saint Louis",849,2010-11-01,991,11,"2010",Nov 2010,0
"11224.2010-11",62035,"11224","New York","NY","New York","Kings",850,2010-11-01,NA,11,"2010",Nov 2010,0
"97223.2010-11",99137,"97223","Tigard","OR","Portland","Washington",851,2010-11-01,1318,11,"2010",Nov 2010,0
"40214.2010-11",75568,"40214","Louisville","KY","Louisville/Jefferson County","Jefferson",852,2010-11-01,856,11,"2010",Nov 2010,0
"23434.2010-11",67708,"23434","Suffolk","VA","Virginia Beach","Suffolk City",853,2010-11-01,1337,11,"2010",Nov 2010,0
"89115.2010-11",95811,"89115","Las Vegas","NV","Las Vegas","Clark",854,2010-11-01,916,11,"2010",Nov 2010,0
"76133.2010-11",91276,"76133","Fort Worth","TX","Dallas-Fort Worth","Tarrant",855,2010-11-01,1048,11,"2010",Nov 2010,0
"77081.2010-11",91730,"77081","Houston","TX","Houston","Harris",856,2010-11-01,1355,11,"2010",Nov 2010,0
"75068.2010-11",90666,"75068","Little Elm","TX","Dallas-Fort Worth","Denton",857,2010-11-01,1388,11,"2010",Nov 2010,0
"77063.2010-11",91712,"77063","Houston","TX","Houston","Harris",858,2010-11-01,1203,11,"2010",Nov 2010,0
"75080.2010-11",90675,"75080","Richardson","TX","Dallas-Fort Worth","Dallas",859,2010-11-01,1396,11,"2010",Nov 2010,0
"67212.2010-11",87507,"67212","Wichita","KS","Wichita","Sedgwick",860,2010-11-01,1029,11,"2010",Nov 2010,0
"78542.2010-11",399727,"78542","Edinburg","TX","McAllen","Hidalgo",861,2010-11-01,1021,11,"2010",Nov 2010,0
"89502.2010-11",95931,"89502","Reno","NV","Reno","Washoe",862,2010-11-01,1132,11,"2010",Nov 2010,0
"92057.2010-11",96613,"92057","Oceanside","CA","San Diego","San Diego",863,2010-11-01,1856,11,"2010",Nov 2010,0
"27526.2010-11",69385,"27526","Fuquay Varina","NC","Raleigh","Wake",864,2010-11-01,1208,11,"2010",Nov 2010,0
"77386.2010-11",91896,"77386","Spring","TX","Houston","Harris",865,2010-11-01,1567,11,"2010",Nov 2010,0
"22554.2010-11",67307,"22554","Stafford","VA","Washington","Stafford",866,2010-11-01,1794,11,"2010",Nov 2010,0
"15237.2010-11",63968,"15237","Ross","PA","Pittsburgh","Allegheny",867,2010-11-01,1425,11,"2010",Nov 2010,0
"85248.2010-11",94840,"85248","Chandler","AZ","Phoenix","Maricopa",868,2010-11-01,1568,11,"2010",Nov 2010,0
"33322.2010-11",72541,"33322","Sunrise","FL","Miami-Fort Lauderdale","Broward",869,2010-11-01,1195,11,"2010",Nov 2010,0
"73120.2010-11",89945,"73120","Oklahoma City","OK","Oklahoma City","Oklahoma",870,2010-11-01,1196,11,"2010",Nov 2010,0
"63136.2010-11",85954,"63136","Jennings","MO","St. Louis","Saint Louis",871,2010-11-01,711,11,"2010",Nov 2010,0
"33178.2010-11",72480,"33178","Doral","FL","Miami-Fort Lauderdale","Miami-Dade",872,2010-11-01,1886,11,"2010",Nov 2010,0
"07601.2010-11",60714,"07601","Hackensack","NJ","New York","Bergen",873,2010-11-01,1969,11,"2010",Nov 2010,0
"10010.2010-11",61624,"10010","New York","NY","New York","New York",874,2010-11-01,NA,11,"2010",Nov 2010,0
"85338.2010-11",94914,"85338","Goodyear","AZ","Phoenix","Maricopa",875,2010-11-01,1125,11,"2010",Nov 2010,0
"92708.2010-11",97008,"92708","Fountain Valley","CA","Los Angeles-Long Beach-Anaheim","Orange",876,2010-11-01,2514,11,"2010",Nov 2010,0
"30016.2010-11",70803,"30016","Covington","GA","Atlanta","Newton",877,2010-11-01,963,11,"2010",Nov 2010,0
"10306.2010-11",61782,"10306","New York","NY","New York","Richmond",878,2010-11-01,NA,11,"2010",Nov 2010,0
"43615.2010-11",76774,"43615","Toledo","OH","Toledo","Lucas",879,2010-11-01,880,11,"2010",Nov 2010,0
"33125.2010-11",72428,"33125","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",880,2010-11-01,1412,11,"2010",Nov 2010,0
"47401.2010-11",78584,"47401","Bloomington","IN","Bloomington","Monroe",881,2010-11-01,1269,11,"2010",Nov 2010,0
"07470.2010-11",60688,"07470","Wayne","NJ","New York","Passaic",882,2010-11-01,2045,11,"2010",Nov 2010,0
"33062.2010-11",72391,"33062","Pompano Beach","FL","Miami-Fort Lauderdale","Broward",883,2010-11-01,1702,11,"2010",Nov 2010,0
"30032.2010-11",70817,"30032","Candler-Mcafee","GA","Atlanta","Dekalb",884,2010-11-01,894,11,"2010",Nov 2010,0
"57701.2010-11",83400,"57701","Rapid City","SD","Rapid City","Pennington",885,2010-11-01,NA,11,"2010",Nov 2010,0
"38111.2010-11",74649,"38111","Memphis","TN","Memphis","Shelby",886,2010-11-01,819,11,"2010",Nov 2010,0
"27360.2010-11",69320,"27360","Thomasville","NC","Winston-Salem","Davidson",887,2010-11-01,841,11,"2010",Nov 2010,0
"77042.2010-11",91691,"77042","Houston","TX","Houston","Harris",888,2010-11-01,1361,11,"2010",Nov 2010,0
"85224.2010-11",94819,"85224","Chandler","AZ","Phoenix","Maricopa",889,2010-11-01,1179,11,"2010",Nov 2010,0
"43207.2010-11",76576,"43207","Columbus","OH","Columbus","Franklin",890,2010-11-01,746,11,"2010",Nov 2010,0
"70506.2010-11",88629,"70506","Lafayette","LA","Lafayette","Lafayette",891,2010-11-01,1148,11,"2010",Nov 2010,0
"08054.2010-11",60945,"08054","Mt Laurel","NJ","Philadelphia","Burlington",892,2010-11-01,1608,11,"2010",Nov 2010,0
"95020.2010-11",97931,"95020","Gilroy","CA","San Jose","Santa Clara",893,2010-11-01,2367,11,"2010",Nov 2010,0
"38017.2010-11",74591,"38017","Collierville","TN","Memphis","Shelby",894,2010-11-01,1902,11,"2010",Nov 2010,0
"11691.2010-11",62179,"11691","New York","NY","New York","Queens",895,2010-11-01,NA,11,"2010",Nov 2010,0
"58201.2010-11",83532,"58201","Grand Forks","ND","Grand Forks","Grand Forks",896,2010-11-01,NA,11,"2010",Nov 2010,0
"76549.2010-11",91470,"76549","Killeen","TX","Killeen","Bell",897,2010-11-01,1079,11,"2010",Nov 2010,0
"54956.2010-11",82001,"54956","Neenah","WI","Oshkosh","Winnebago",898,2010-11-01,NA,11,"2010",Nov 2010,0
"85375.2010-11",94949,"85375","Sun City West","AZ","Phoenix","Maricopa",899,2010-11-01,1249,11,"2010",Nov 2010,0
"34655.2010-11",73157,"34655","New Port Richey","FL","Tampa","Pasco",900,2010-11-01,1309,11,"2010",Nov 2010,0
"55044.2010-11",82063,"55044","Lakeville","MN","Minneapolis-St Paul","Dakota",901,2010-11-01,1559,11,"2010",Nov 2010,0
"45324.2010-11",77586,"45324","Fairborn","OH","Dayton","Greene",902,2010-11-01,837,11,"2010",Nov 2010,0
"33615.2010-11",72718,"33615","Town 'n' Country","FL","Tampa","Hillsborough",903,2010-11-01,1095,11,"2010",Nov 2010,0
"07083.2010-11",60592,"07083","Union","NJ","New York","Union",904,2010-11-01,1684,11,"2010",Nov 2010,0
"19335.2010-11",65863,"19335","East Brandywine","PA","Philadelphia","Chester",905,2010-11-01,1843,11,"2010",Nov 2010,0
"85122.2010-11",417437,"85122","Casa Grande","AZ","Phoenix","Pinal",906,2010-11-01,893,11,"2010",Nov 2010,0
"45014.2010-11",77403,"45014","Fairfield","OH","Cincinnati","Butler",907,2010-11-01,1180,11,"2010",Nov 2010,0
"93277.2010-11",97205,"93277","Visalia","CA","Visalia","Tulare",908,2010-11-01,1260,11,"2010",Nov 2010,0
"93063.2010-11",97116,"93063","Simi Valley","CA","Ventura","Ventura",909,2010-11-01,2247,11,"2010",Nov 2010,0
"27615.2010-11",69455,"27615","Raleigh","NC","Raleigh","Wake",910,2010-11-01,1390,11,"2010",Nov 2010,0
"72764.2010-11",89749,"72764","Springdale","AR","Fayetteville","Washington",911,2010-11-01,850,11,"2010",Nov 2010,0
"65804.2010-11",87016,"65804","Springfield","MO","Springfield","Greene",912,2010-11-01,838,11,"2010",Nov 2010,0
"37918.2010-11",74555,"37918","Knoxville","TN","Knoxville","Knox",913,2010-11-01,883,11,"2010",Nov 2010,0
"66502.2010-11",87190,"66502","Manhattan","KS","Manhattan","Riley",914,2010-11-01,995,11,"2010",Nov 2010,0
"55106.2010-11",82107,"55106","Saint Paul","MN","Minneapolis-St Paul","Ramsey",915,2010-11-01,969,11,"2010",Nov 2010,0
"78247.2010-11",92343,"78247","San Antonio","TX","San Antonio","Bexar",916,2010-11-01,1196,11,"2010",Nov 2010,0
"13760.2010-11",63280,"13760","Union","NY","Binghamton","Broome",917,2010-11-01,1297,11,"2010",Nov 2010,0
"96744.2010-11",98881,"96744","Kaneohe","HI","Urban Honolulu","Honolulu",918,2010-11-01,2294,11,"2010",Nov 2010,0
"75071.2010-11",90669,"75071","McKinney","TX","Dallas-Fort Worth","Collin",919,2010-11-01,1451,11,"2010",Nov 2010,0
"44102.2010-11",77002,"44102","Cleveland","OH","Cleveland","Cuyahoga",920,2010-11-01,805,11,"2010",Nov 2010,0
"37660.2010-11",74408,"37660","Kingsport","TN","Kingsport","Sullivan",921,2010-11-01,856,11,"2010",Nov 2010,0
"98003.2010-11",99491,"98003","Federal Way","WA","Seattle","King",922,2010-11-01,1348,11,"2010",Nov 2010,0
"01844.2010-11",58514,"01844","Methuen","MA","Boston","Essex",923,2010-11-01,1486,11,"2010",Nov 2010,0
"27215.2010-11",69242,"27215","Burlington","NC","Burlington","Alamance",924,2010-11-01,954,11,"2010",Nov 2010,0
"91402.2010-11",96411,"91402","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",925,2010-11-01,1935,11,"2010",Nov 2010,0
"60411.2010-11",84466,"60411","Chicago Heights","IL","Chicago","Cook",926,2010-11-01,1217,11,"2010",Nov 2010,0
"55303.2010-11",82156,"55303","Ramsey","MN","Minneapolis-St Paul","Anoka",927,2010-11-01,1296,11,"2010",Nov 2010,0
"70301.2010-11",88539,"70301","Thibodaux","LA","Houma","Lafourche",928,2010-11-01,1182,11,"2010",Nov 2010,0
"48307.2010-11",79118,"48307","Rochester Hills","MI","Detroit","Oakland",929,2010-11-01,1387,11,"2010",Nov 2010,0
"35405.2010-11",73449,"35405","Tuscaloosa","AL","Tuscaloosa","Tuscaloosa",930,2010-11-01,NA,11,"2010",Nov 2010,0
"80014.2010-11",93204,"80014","Aurora","CO","Denver","Arapahoe",931,2010-11-01,1092,11,"2010",Nov 2010,0
"85283.2010-11",94872,"85283","Tempe","AZ","Phoenix","Maricopa",932,2010-11-01,1201,11,"2010",Nov 2010,0
"34741.2010-11",73195,"34741","Kissimmee","FL","Orlando","Osceola",933,2010-11-01,894,11,"2010",Nov 2010,0
"17701.2010-11",65140,"17701","Williamsport","PA","Williamsport","Lycoming",934,2010-11-01,1088,11,"2010",Nov 2010,0
"33612.2010-11",72715,"33612","Tampa","FL","Tampa","Hillsborough",935,2010-11-01,918,11,"2010",Nov 2010,0
"27612.2010-11",69452,"27612","Raleigh","NC","Raleigh","Wake",936,2010-11-01,1403,11,"2010",Nov 2010,0
"92037.2010-11",96602,"92037","San Diego","CA","San Diego","San Diego",937,2010-11-01,4454,11,"2010",Nov 2010,0
"87105.2010-11",95300,"87105","South Valley","NM","Albuquerque","Bernalillo",938,2010-11-01,NA,11,"2010",Nov 2010,0
"35215.2010-11",73385,"35215","Birmingham","AL","Birmingham","Jefferson",939,2010-11-01,790,11,"2010",Nov 2010,0
"39401.2010-11",75281,"39401","Hattiesburg","MS","Hattiesburg","Forrest",940,2010-11-01,NA,11,"2010",Nov 2010,0
"77546.2010-11",92017,"77546","Friendswood","TX","Houston","Galveston",941,2010-11-01,1686,11,"2010",Nov 2010,0
"94117.2010-11",97571,"94117","San Francisco","CA","San Francisco","San Francisco",942,2010-11-01,3650,11,"2010",Nov 2010,0
"92103.2010-11",96645,"92103","San Diego","CA","San Diego","San Diego",943,2010-11-01,2223,11,"2010",Nov 2010,0
"06492.2010-11",60347,"06492","Wallingford","CT","New Haven","New Haven",944,2010-11-01,1645,11,"2010",Nov 2010,0
"43232.2010-11",76599,"43232","Columbus","OH","Columbus","Franklin",945,2010-11-01,797,11,"2010",Nov 2010,0
"14150.2010-11",63447,"14150","Tonawanda","NY","Buffalo","Erie",946,2010-11-01,1029,11,"2010",Nov 2010,0
"93720.2010-11",97429,"93720","Fresno","CA","Fresno","Fresno",947,2010-11-01,1671,11,"2010",Nov 2010,0
"30236.2010-11",70975,"30236","Jonesboro","GA","Atlanta","Clayton",948,2010-11-01,985,11,"2010",Nov 2010,0
"76010.2010-11",91184,"76010","Arlington","TX","Dallas-Fort Worth","Tarrant",949,2010-11-01,849,11,"2010",Nov 2010,0
"73071.2010-11",89902,"73071","Norman","OK","Oklahoma City","Cleveland",950,2010-11-01,973,11,"2010",Nov 2010,0
"91367.2010-11",96389,"91367","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",951,2010-11-01,2496,11,"2010",Nov 2010,0
"85207.2010-11",94802,"85207","Mesa","AZ","Phoenix","Maricopa",952,2010-11-01,1376,11,"2010",Nov 2010,0
"33033.2010-11",72371,"33033","Homestead","FL","Miami-Fort Lauderdale","Miami-Dade",953,2010-11-01,1287,11,"2010",Nov 2010,0
"92507.2010-11",96886,"92507","Riverside","CA","Riverside","Riverside",954,2010-11-01,1489,11,"2010",Nov 2010,0
"33617.2010-11",72720,"33617","Temple Terrace","FL","Tampa","Hillsborough",955,2010-11-01,994,11,"2010",Nov 2010,0
"27604.2010-11",69444,"27604","Raleigh","NC","Raleigh","Wake",956,2010-11-01,1027,11,"2010",Nov 2010,0
"96003.2010-11",98543,"96003","Redding","CA","Redding","Shasta",957,2010-11-01,1398,11,"2010",Nov 2010,0
"40324.2010-11",75630,"40324","Georgetown","KY","Lexington","Scott",958,2010-11-01,1101,11,"2010",Nov 2010,0
"29910.2010-11",70758,"29910","Bluffton","SC","Hilton Head Island","Beaufort",959,2010-11-01,1222,11,"2010",Nov 2010,0
"55104.2010-11",82105,"55104","Saint Paul","MN","Minneapolis-St Paul","Ramsey",960,2010-11-01,986,11,"2010",Nov 2010,0
"23608.2010-11",67776,"23608","Newport News","VA","Virginia Beach","Newport News City",961,2010-11-01,1262,11,"2010",Nov 2010,0
"08053.2010-11",60944,"08053","Evesham","NJ","Philadelphia","Burlington",962,2010-11-01,1843,11,"2010",Nov 2010,0
"27513.2010-11",69372,"27513","Cary","NC","Raleigh","Wake",963,2010-11-01,1392,11,"2010",Nov 2010,0
"22314.2010-11",67232,"22314","Alexandria","VA","Washington","Alexandria City",964,2010-11-01,2457,11,"2010",Nov 2010,0
"28262.2010-11",69813,"28262","Charlotte","NC","Charlotte","Mecklenburg",965,2010-11-01,1009,11,"2010",Nov 2010,0
"79928.2010-11",93137,"79928","Horizon City","TX","El Paso","El Paso",966,2010-11-01,1093,11,"2010",Nov 2010,0
"91977.2010-11",96572,"91977","Spring Valley","CA","San Diego","San Diego",967,2010-11-01,1800,11,"2010",Nov 2010,0
"95831.2010-11",98440,"95831","Sacramento","CA","Sacramento","Sacramento",968,2010-11-01,1582,11,"2010",Nov 2010,0
"32837.2010-11",72261,"32837","Orlando","FL","Orlando","Orange",969,2010-11-01,1270,11,"2010",Nov 2010,0
"12866.2010-11",62810,"12866","Saratoga Springs","NY","Albany","Saratoga",970,2010-11-01,1742,11,"2010",Nov 2010,0
"18103.2010-11",65368,"18103","Allentown","PA","Allentown","Lehigh",971,2010-11-01,1173,11,"2010",Nov 2010,0
"28403.2010-11",69925,"28403","Wilmington","NC","Wilmington","New Hanover",972,2010-11-01,1025,11,"2010",Nov 2010,0
"77407.2010-11",399724,"77407","Richmond","TX","Houston","Fort Bend",973,2010-11-01,1541,11,"2010",Nov 2010,0
"80526.2010-11",93450,"80526","Fort Collins","CO","Fort Collins","Larimer",974,2010-11-01,1294,11,"2010",Nov 2010,0
"16001.2010-11",64399,"16001","Butler","PA","Pittsburgh","Butler",975,2010-11-01,1232,11,"2010",Nov 2010,0
"28806.2010-11",70238,"28806","Asheville","NC","Asheville","Buncombe",976,2010-11-01,928,11,"2010",Nov 2010,0
"28173.2010-11",69762,"28173","Waxhaw","NC","Charlotte","Union",977,2010-11-01,1809,11,"2010",Nov 2010,0
"75074.2010-11",90670,"75074","Plano","TX","Dallas-Fort Worth","Collin",978,2010-11-01,1247,11,"2010",Nov 2010,0
"32164.2010-11",71832,"32164","Palm Coast","FL","Daytona Beach","Flagler",979,2010-11-01,1143,11,"2010",Nov 2010,0
"87507.2010-11",95387,"87507","Santa Fe","NM","Santa Fe","Santa Fe",980,2010-11-01,NA,11,"2010",Nov 2010,0
"14075.2010-11",63405,"14075","Hamburg","NY","Buffalo","Erie",981,2010-11-01,1290,11,"2010",Nov 2010,0
"74055.2010-11",90265,"74055","Owasso","OK","Tulsa","Tulsa",982,2010-11-01,1156,11,"2010",Nov 2010,0
"75219.2010-11",90771,"75219","Dallas","TX","Dallas-Fort Worth","Dallas",983,2010-11-01,1284,11,"2010",Nov 2010,0
"55113.2010-11",82114,"55113","Roseville","MN","Minneapolis-St Paul","Ramsey",984,2010-11-01,1175,11,"2010",Nov 2010,0
"93436.2010-11",97265,"93436","Lompoc","CA","Santa Maria-Santa Barbara","Santa Barbara",985,2010-11-01,1523,11,"2010",Nov 2010,0
"10469.2010-11",61809,"10469","New York","NY","New York","Bronx",986,2010-11-01,NA,11,"2010",Nov 2010,0
"19103.2010-11",65771,"19103","Philadelphia","PA","Philadelphia","Philadelphia",987,2010-11-01,1971,11,"2010",Nov 2010,0
"28110.2010-11",69723,"28110","Monroe","NC","Charlotte","Union",988,2010-11-01,1038,11,"2010",Nov 2010,0
"80229.2010-11",93305,"80229","Thornton","CO","Denver","Adams",989,2010-11-01,1103,11,"2010",Nov 2010,0
"53081.2010-11",81199,"53081","Sheboygan","WI","Sheboygan","Sheboygan",990,2010-11-01,751,11,"2010",Nov 2010,0
"64118.2010-11",86356,"64118","Gladstone","MO","Kansas City","Clay",991,2010-11-01,902,11,"2010",Nov 2010,0
"77072.2010-11",91721,"77072","Houston","TX","Houston","Harris",992,2010-11-01,1085,11,"2010",Nov 2010,0
"90049.2010-11",96030,"90049","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",993,2010-11-01,6036,11,"2010",Nov 2010,0
"92223.2010-11",96735,"92223","Beaumont","CA","Riverside","Riverside",994,2010-11-01,1594,11,"2010",Nov 2010,0
"07024.2010-11",60540,"07024","Fort Lee","NJ","New York","Bergen",995,2010-11-01,2184,11,"2010",Nov 2010,0
"60804.2010-11",84693,"60804","Cicero","IL","Chicago","Cook",996,2010-11-01,1320,11,"2010",Nov 2010,0
"97330.2010-11",99199,"97330","Corvallis","OR","Corvallis","Benton",997,2010-11-01,NA,11,"2010",Nov 2010,0
"30093.2010-11",70871,"30093","Norcross","GA","Atlanta","Gwinnett",998,2010-11-01,970,11,"2010",Nov 2010,0
"91406.2010-11",96415,"91406","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",999,2010-11-01,2098,11,"2010",Nov 2010,0
"94121.2010-11",97575,"94121","San Francisco","CA","San Francisco","San Francisco",1000,2010-11-01,3895,11,"2010",Nov 2010,0
"53215.2010-11",81295,"53215","Milwaukee","WI","Milwaukee","Milwaukee",1001,2010-11-01,NA,11,"2010",Nov 2010,0
"95207.2010-11",98041,"95207","Stockton","CA","Stockton","San Joaquin",1002,2010-11-01,1165,11,"2010",Nov 2010,0
"95616.2010-11",98312,"95616","Davis","CA","Sacramento","Yolo",1003,2010-11-01,2144,11,"2010",Nov 2010,0
"92346.2010-11",96826,"92346","Highland","CA","Riverside","San Bernardino",1004,2010-11-01,1488,11,"2010",Nov 2010,0
"42301.2010-11",76302,"42301","Owensboro","KY","Owensboro","Daviess",1005,2010-11-01,839,11,"2010",Nov 2010,0
"44691.2010-11",77296,"44691","Wooster","OH","Wooster","Wayne",1006,2010-11-01,1050,11,"2010",Nov 2010,0
